split,repetition,method,brier_score,ece
iid_test,58,oracle,0.15219663939348965,0.01647210802843893
iid_test,59,raw,0.15760598374291002,0.033561590119154446
iid_test,59,platt,0.15728104288845926,0.03286464740262683
iid_test,59,isotonic,0.15792658466896467,0.03105894101957462
iid_test,59,oracle,0.15154630613479214,0.02075708002107794
iid_test,60,raw,0.15446773589617924,0.026591219035697947
iid_test,60,platt,0.15429991082382413,0.023333015485655268
iid_test,60,isotonic,0.15669304698177863,0.031965284301240064
iid_test,60,oracle,0.14812204099003984,0.029770608125857644
iid_test,61,raw,0.14839757607566734,0.03178163404155895
iid_test,61,platt,0.14893539413794868,0.037423965981149186
iid_test,61,isotonic,0.1506473634806113,0.043750752416759346
iid_test,61,oracle,0.14490090631689304,0.030107706576978255
iid_test,62,raw,0.14713167848880432,0.024330408114127282
iid_test,62,platt,0.1475198295261361,0.028349300950252513
iid_test,62,isotonic,0.1480506508699572,0.03303737808991155
iid_test,62,oracle,0.14281521507094702,0.021082530913571675
iid_test,63,raw,0.15548846759008816,0.028515252694831735
iid_test,63,platt,0.1550049957094236,0.018850111888404943
iid_test,63,isotonic,0.15424283928687918,0.024024320941280326
iid_test,63,oracle,0.1503153417438524,0.01965046353953841
iid_test,64,raw,0.15462814196845165,0.019266031708352033
iid_test,64,platt,0.15483825483927946,0.022572770301546367
iid_test,64,isotonic,0.15602185782534092,0.025050509256119066
iid_test,64,oracle,0.14704762723821665,0.03192486417791277
iid_test,65,raw,0.14718126323120537,0.016363290581790445
iid_test,65,platt,0.14790582909014605,0.03043990990634516
iid_test,65,isotonic,0.14835858840528812,0.037507855330750836
iid_test,65,oracle,0.1423936285575244,0.020757620889589306
iid_test,66,raw,0.15521066796663613,0.02507827998135907
iid_test,66,platt,0.1546365173853249,0.025217148339216996
iid_test,66,isotonic,0.1564137234844867,0.03175598159672363
iid_test,66,oracle,0.14856353845884857,0.025180759444098637
iid_test,67,raw,0.1519386886261923,0.023814336730766533
iid_test,67,platt,0.15251485174203025,0.02964953578166599
iid_test,67,isotonic,0.1529914877056672,0.032771393289502376
iid_test,67,oracle,0.14481422363675944,0.028123963171874888
iid_test,68,raw,0.15885025186002302,0.03013381823201389
iid_test,68,platt,0.15834093013417247,0.0269926836767678
iid_test,68,isotonic,0.1591860885143875,0.021584776209520342
iid_test,68,oracle,0.15266236249630913,0.024777668054826143
iid_test,69,raw,0.15835765845475336,0.03339068932459682
iid_test,69,platt,0.15787564005096355,0.025288883863899974
iid_test,69,isotonic,0.15883118249966527,0.03219474371885902
iid_test,69,oracle,0.15340425159209523,0.01844680280764806
iid_test,70,raw,0.15064724402151936,0.03797429768676731
iid_test,70,platt,0.15029634793402957,0.03358338298992916
iid_test,70,isotonic,0.15059223982315337,0.0323143671093512
iid_test,70,oracle,0.145719707198543,0.028141332759970838
iid_test,71,raw,0.15338045570850456,0.03171448091001535
iid_test,71,platt,0.15346671096528294,0.034555845647696606
iid_test,71,isotonic,0.15385466941809742,0.034386782213609454
iid_test,71,oracle,0.14491492617127869,0.028187714380623115
iid_test,72,raw,0.15314642093769668,0.03489340175148447
iid_test,72,platt,0.1528304656404717,0.03213583299056288
iid_test,72,isotonic,0.15309113398403665,0.02837587318470298
iid_test,72,oracle,0.14581896039628078,0.02671693134173754
iid_test,73,raw,0.15822758144296606,0.03227357230921155
iid_test,73,platt,0.1574188616567384,0.02257600531468163
iid_test,73,isotonic,0.15893231004428332,0.028725586130824283
iid_test,73,oracle,0.15062906378952887,0.020947159611021598
iid_test,74,raw,0.1636110534302419,0.03673159714329296
iid_test,74,platt,0.16204191758113815,0.020402220699784982
iid_test,74,isotonic,0.16383656786569634,0.02919171341769126
iid_test,74,oracle,0.15708859501677375,0.02962266301674546
iid_test,75,raw,0.15740629595781575,0.0297110550476906
iid_test,75,platt,0.1572468040479019,0.034880866844375906
iid_test,75,isotonic,0.15732540285319552,0.03458642630703897
iid_test,75,oracle,0.14827932104720917,0.0200036503203769
iid_test,76,raw,0.16108211786093476,0.0342329492038903
iid_test,76,platt,0.1602023316637687,0.024813894217635857
iid_test,76,isotonic,0.16080922810047682,0.035558590318771864
iid_test,76,oracle,0.15008599244269988,0.020241893202931186
iid_test,77,raw,0.15603162293134984,0.02864982347267131
